abstention_rate,accepted_relation_precision,accepted_route_accuracy,ambiguous_reject_reason_rate,aurc,average_candidate_set_size,benchmark,cross_intent_candidate_access_count,empty_candidate_set_rate,false_memory_access_rate,intent_macro_accuracy,known_accuracy,known_coverage,known_row_count,memory_access_count,minimum_margin,multi_candidate_set_rate,oos_aupr,oos_auroc,oos_f1,oos_precision,oos_recall,ridge_strength,row_count,safe_coverage,seed,selected,stage,threshold,unknown_reject_reason_rate,unknown_row_count,variant,worst_intent_accuracy,wrong_bucket_access_rate
0.6864516129032258,0.5915637860082305,0.9930915371329879,0.18161290322580645,0.6516248071773905,0.7606451612903226,clinc150,0,0.5048387096774194,0.18714285714285714,0.575,0.575,0.579,1000,972,0.05,0.17258064516129032,0.9573090379075915,0.9246952380952381,0.8074739829706717,0.8021616541353384,0.8128571428571428,,3100,0.575,2501,False,selective,0.25,0.5048387096774194,2100,R3,0.0,0.004
0.694516129032258,0.604012671594509,0.9965156794425087,0.1896774193548387,0.6524032608683521,0.7606451612903226,clinc150,0,0.5048387096774194,0.17761904761904762,0.572,0.572,0.574,1000,947,0.075,0.17258064516129032,0.9573090379075915,0.9246952380952381,0.8121326122736892,0.8021365536460753,0.8223809523809524,,3100,0.572,2501,False,selective,0.25,0.5048387096774194,2100,R3,0.0,0.002
0.7074193548387097,0.6229327453142227,0.9964726631393298,0.20258064516129032,0.6543509202519411,0.7606451612903226,clinc150,0,0.5048387096774194,0.1619047619047619,0.5650000000000001,0.565,0.567,1000,907,0.1,0.17258064516129032,0.9573090379075915,0.9246952380952381,0.8199394362916375,0.8025535795713634,0.8380952380952381,,3100,0.565,2501,False,selective,0.25,0.5048387096774194,2100,R3,0.0,0.002
0.7303225806451613,0.666267942583732,0.9964221824686941,0.22548387096774195,0.6566567382042047,0.7606451612903226,clinc150,0,0.5048387096774194,0.1319047619047619,0.557,0.557,0.559,1000,836,0.15,0.17258064516129032,0.9573090379075915,0.9246952380952381,0.8354720439963337,0.8052120141342756,0.8680952380952381,,3100,0.557,2501,False,selective,0.25,0.5048387096774194,2100,R3,0.0,0.002
0.6893548387096774,0.6531671858774662,0.9921135646687698,0.12,0.5968887607803148,0.5993548387096774,clinc150,0,0.5693548387096774,0.15666666666666668,0.629,0.629,0.634,1000,963,0.0,0.12,0.9573090379075915,0.9246952380952381,0.8359688458815199,0.828731867103416,0.8433333333333334,,3100,0.629,2501,False,selective,0.3,0.5693548387096774,2100,R3,0.0,0.005
0.6909677419354838,0.6555323590814196,0.9921011058451816,0.12161290322580645,0.5971641004307962,0.5993548387096774,clinc150,0,0.5693548387096774,0.15476190476190477,0.628,0.628,0.633,1000,958,0.025,0.12,0.9573090379075915,0.9246952380952381,0.8368694012258369,0.8286647992530346,0.8452380952380952,,3100,0.628,2501,False,selective,0.3,0.5693548387096774,2100,R3,0.0,0.005
0.6941935483870968,0.6624472573839663,0.9936708860759493,0.12483870967741935,0.5971641004307962,0.5993548387096774,clinc150,0,0.5693548387096774,0.15047619047619049,0.628,0.628,0.632,1000,948,0.05,0.12,0.9573090379075915,0.9246952380952381,0.8391345249294451,0.828996282527881,0.8495238095238096,,3100,0.628,2501,False,selective,0.3,0.5693548387096774,2100,R3,0.0,0.004
0.7,0.6741935483870968,0.9952380952380953,0.13064516129032258,0.597442631544284,0.5993548387096774,clinc150,0,0.5693548387096774,0.14285714285714285,0.627,0.627,0.63,1000,930,0.075,0.12,0.9573090379075915,0.9246952380952381,0.8430913348946135,0.8294930875576036,0.8571428571428571,,3100,0.627,2501,False,selective,0.3,0.5693548387096774,2100,R3,0.0,0.003
0.7093548387096774,0.6870144284128746,0.9951768488745981,0.14,0.5998951655014789,0.5993548387096774,clinc150,0,0.5693548387096774,0.13285714285714287,0.619,0.619,0.622,1000,901,0.1,0.12,0.9573090379075915,0.9246952380952381,0.8471737613398465,0.8281036834924966,0.8671428571428571,,3100,0.619,2501,False,selective,0.3,0.5693548387096774,2100,R3,0.0,0.003
0.7264516129032258,0.7181603773584906,0.9950980392156863,0.1570967741935484,0.6032916436219979,0.5993548387096774,clinc150,0,0.5693548387096774,0.11238095238095239,0.609,0.609,0.612,1000,848,0.15,0.12,0.9573090379075915,0.9246952380952381,0.8566176470588235,0.827708703374778,0.8876190476190476,,3100,0.609,2501,False,selective,0.3,0.5693548387096774,2100,R3,0.0,0.003
