abstention_rate,accepted_relation_precision,accepted_route_accuracy,ambiguous_reject_reason_rate,aurc,average_candidate_set_size,benchmark,cross_intent_candidate_access_count,empty_candidate_set_rate,false_memory_access_rate,intent_macro_accuracy,known_accuracy,known_coverage,known_row_count,memory_access_count,multi_candidate_set_rate,oos_aupr,oos_auroc,oos_f1,oos_precision,oos_recall,row_count,safe_coverage,seed,unknown_reject_reason_rate,unknown_row_count,variant,worst_intent_accuracy,wrong_bucket_access_rate
0.0,0.8480519480519481,0.8480519480519481,0.0,0.06879691757159957,1,banking77_closed,0,0.0,0.0,0.8480519480519481,0.8480519480519481,1.0,3080,3080,0.0,0.0,0.0,0.0,0.0,0.0,3080,0.8480519480519481,2504,0.0,0,R2,0.375,0.15194805194805194
0.0,0.27054545454545453,0.992,0.0,0.39281922521728285,1,clinc150,0,0.0,1.0,0.992,0.992,1.0,1500,5500,0.0,0.9882490369920277,0.9720403333333333,0.0,0.0,0.0,5500,0.992,2505,0.0,4000,R0,0.9,0.008
0.0,0.27,0.99,0.0,0.41482998895457734,1,clinc150,0,0.0,1.0,0.99,0.99,1.0,1500,5500,0.0,0.9758452851677841,0.9420698333333334,0.0,0.0,0.0,5500,0.99,2505,0.0,4000,R2,0.8666666666666667,0.01
0.6798181818181818,0.7223168654173765,0.9960845732184808,0.0,0.4469009240522852,0.3201818181818182,clinc150,0,0.6798181818181818,0.121,0.848,0.848,0.8513333333333334,1500,1761,0.0,0.9758452851677841,0.9420698333333334,0.9086445277167594,0.9403583845948115,0.879,5500,0.848,2505,0.6798181818181818,4000,MAX_THRESHOLD,0.0,0.0033333333333333335
0.7310909090909091,0.7660581473968898,1.0,0.051272727272727275,0.5175271577010774,0.36527272727272725,clinc150,0,0.6798181818181818,0.0865,0.7553333333333333,0.7553333333333333,0.7553333333333333,1500,1479,0.036727272727272726,0.9758452851677841,0.9420698333333334,0.9111083406059094,0.908729171847799,0.9135,5500,0.7553333333333333,2505,0.6798181818181818,4000,R3,0.0,0.0
0.0,0.6413793103448275,0.9538461538461539,0.0,0.1273727044223056,1,banking77_open,0,0.0,1.0,0.9538461538461538,0.9538461538461539,1.0,1560,2320,0.0,0.7473846921001501,0.8570546558704454,0.0,0.0,0.0,2320,0.9538461538461539,2505,0.0,760,R0,0.85,0.046153846153846156
0.0,0.6262931034482758,0.9314102564102564,0.0,0.14201683889751962,1,banking77_open,0,0.0,1.0,0.9314102564102564,0.9314102564102564,1.0,1560,2320,0.0,0.7518480186087608,0.8661032388663967,0.0,0.0,0.0,2320,0.9314102564102564,2505,0.0,760,R2,0.65,0.0685897435897436
0.3474137931034483,0.8236459709379128,0.9526355996944232,0.0,0.16501597064747311,0.6525862068965518,banking77_open,0,0.3474137931034483,0.26973684210526316,0.7993589743589744,0.7993589743589744,0.8391025641025641,1560,1514,0.0,0.7518480186087608,0.8661032388663967,0.7088122605363985,0.6885856079404467,0.7302631578947368,2320,0.7993589743589744,2505,0.3474137931034483,760,MAX_THRESHOLD,0.5,0.03974358974358974
0.843103448275862,0.978021978021978,0.9971988795518207,0.001293103448275862,0.5637853400559464,0.15948275862068967,banking77_open,0,0.8418103448275862,0.009210526315789473,0.2282051282051282,0.2282051282051282,0.22884615384615384,1560,364,0.001293103448275862,0.7518480186087608,0.8661032388663967,0.5544918998527245,0.38496932515337423,0.9907894736842106,2320,0.2282051282051282,2505,0.8418103448275862,760,R3,0.05,0.000641025641025641
0.0,0.8922077922077922,0.8922077922077922,0.0,0.02139359707008886,1,banking77_closed,0,0.0,0.0,0.8922077922077922,0.8922077922077922,1.0,3080,3080,0.0,0.0,0.0,0.0,0.0,0.0,3080,0.8922077922077922,2505,0.0,0,R0,0.3,0.10779220779220779
0.0,0.8597402597402597,0.8597402597402597,0.0,0.06425191927380028,1,banking77_closed,0,0.0,0.0,0.8597402597402597,0.8597402597402597,1.0,3080,3080,0.0,0.0,0.0,0.0,0.0,0.0,3080,0.8597402597402597,2505,0.0,0,R2,0.425,0.14025974025974025
0.0,0.26745454545454544,0.9806666666666667,0.0,0.4081084597112316,1,clinc150,0,0.0,1.0,0.9806666666666667,0.9806666666666667,1.0,1500,5500,0.0,0.9797194379547969,0.9545241666666666,0.0,0.0,0.0,5500,0.9806666666666667,2506,0.0,4000,R0,0.8333333333333334,0.019333333333333334
0.0,0.26145454545454544,0.9586666666666667,0.0,0.43566485909932956,1,clinc150,0,0.0,1.0,0.9586666666666667,0.9586666666666667,1.0,1500,5500,0.0,0.9716126068727157,0.9315661666666667,0.0,0.0,0.0,5500,0.9586666666666667,2506,0.0,4000,R2,0.6666666666666666,0.04133333333333333
0.6658181818181819,0.6719260065288357,0.971675845790716,0.0,0.464762848578747,0.3341818181818182,clinc150,0,0.6658181818181819,0.14175,0.8233333333333334,0.8233333333333334,0.8473333333333334,1500,1838,0.0,0.9716126068727157,0.9315661666666667,0.896110676063691,0.9374658656471874,0.85825,5500,0.8233333333333334,2506,0.6658181818181819,4000,MAX_THRESHOLD,0.0,0.024
0.9512727272727273,0.9850746268656716,1.0,0.0009090909090909091,0.8075210812985446,0.050545454545454546,clinc150,0,0.9503636363636364,0.001,0.176,0.176,0.176,1500,268,0.0009090909090909091,0.9716126068727157,0.9315661666666667,0.8656845753899479,0.7637614678899083,0.999,5500,0.176,2506,0.9503636363636364,4000,R3,0.0,0.0
0.0,0.6288793103448276,0.9352564102564103,0.0,0.13749634766155344,1,banking77_open,0,0.0,1.0,0.9352564102564103,0.9352564102564103,1.0,1560,2320,0.0,0.7580728957292582,0.859498987854251,0.0,0.0,0.0,2320,0.9352564102564103,2506,0.0,760,R0,0.725,0.06474358974358975
0.0,0.603448275862069,0.8974358974358975,0.0,0.14620617005865003,1,banking77_open,0,0.0,1.0,0.8974358974358975,0.8974358974358975,1.0,1560,2320,0.0,0.7733768810034425,0.8828711201079622,0.0,0.0,0.0,2320,0.8974358974358975,2506,0.0,760,R2,0.575,0.10256410256410256
0.29224137931034483,0.7831912302070646,0.9265129682997119,0.0,0.15716536280341817,0.7077586206896552,banking77_open,0,0.29224137931034483,0.33421052631578946,0.8243589743589743,0.8243589743589743,0.8897435897435897,1560,1642,0.0,0.7733768810034425,0.8828711201079622,0.7037552155771906,0.7463126843657817,0.6657894736842105,2320,0.8243589743589743,2506,0.29224137931034483,760,MAX_THRESHOLD,0.425,0.06538461538461539
0.9103448275862069,0.9951923076923077,0.9951923076923077,0.0004310344827586207,0.6964662334339929,0.09051724137931035,banking77_open,0,0.9099137931034482,0.0,0.1326923076923077,0.1326923076923077,0.13333333333333333,1560,208,0.0004310344827586207,0.7733768810034425,0.8828711201079622,0.5292479108635098,0.35984848484848486,1.0,2320,0.1326923076923077,2506,0.9099137931034482,760,R3,0.0,0.000641025641025641
0.0,0.8967532467532467,0.8967532467532467,0.0,0.020798204333591013,1,banking77_closed,0,0.0,0.0,0.8967532467532467,0.8967532467532467,1.0,3080,3080,0.0,0.0,0.0,0.0,0.0,0.0,3080,0.8967532467532467,2506,0.0,0,R0,0.375,0.10324675324675325
0.0,0.8558441558441559,0.8558441558441559,0.0,0.06445348208460595,1,banking77_closed,0,0.0,0.0,0.8558441558441559,0.8558441558441559,1.0,3080,3080,0.0,0.0,0.0,0.0,0.0,0.0,3080,0.8558441558441559,2506,0.0,0,R2,0.5,0.14415584415584415
0.0,0.2661818181818182,0.976,0.0,0.4040448571172137,1,clinc150,0,0.0,1.0,0.976,0.976,1.0,1500,5500,0.0,0.9837698713566921,0.9612385,0.0,0.0,0.0,5500,0.976,2507,0.0,4000,R0,0.8,0.024
0.0,0.2670909090909091,0.9793333333333333,0.0,0.428948103054629,1,clinc150,0,0.0,1.0,0.9793333333333334,0.9793333333333333,1.0,1500,5500,0.0,0.9746787208971411,0.9362826666666667,0.0,0.0,0.0,5500,0.9793333333333333,2507,0.0,4000,R2,0.8666666666666667,0.020666666666666667
