benchmark,ci95_high,ci95_low,maximum,mean,metric,minimum,seed_count,variant
banking77_open,0.06360697054003354,0.05472636279329978,0.06794871794871794,0.059166666666666666,wrong_bucket_access_rate,0.046153846153846156,10,R0
banking77_open,1.0,1.0,1.0,1.0,false_memory_access_rate,1.0,10,R0
banking77_open,0.0,0.0,0.0,0.0,oos_recall,0.0,10,R0
banking77_open,0.0,0.0,0.0,0.0,oos_f1,0.0,10,R0
banking77_open,0.879124640940899,0.8401179366569418,0.9220580296896086,0.8596212887989204,oos_auroc,0.8085247975708502,10,R0
banking77_open,0.7688536266285234,0.7028546523462337,0.8365569527467389,0.7358541394873785,oos_aupr,0.6493343134367014,10,R0
banking77_open,0.8204903642754025,0.7445096357245975,0.85,0.7825,worst_intent_accuracy,0.675,10,R0
banking77_open,0.9452736372067002,0.9363930294599664,0.9538461538461538,0.9408333333333333,intent_macro_accuracy,0.9320512820512821,10,R0
banking77_open,0.0,0.0,0.0,0.0,multi_candidate_set_rate,0.0,10,R0
banking77_open,0.13834116867178406,0.11984597469901256,0.14880449179281308,0.1290935716853983,aurc,0.10341289285116655,10,R0
banking77_open,0.9161946857801333,0.8988053142198666,0.9314102564102564,0.9075,known_accuracy,0.8871794871794871,10,R2
banking77_open,1.0,1.0,1.0,1.0,known_coverage,1.0,10,R2
banking77_open,0.9161946857801333,0.8988053142198666,0.9314102564102564,0.9075,accepted_route_accuracy,0.8871794871794871,10,R2
banking77_open,0.9161946857801333,0.8988053142198666,0.9314102564102564,0.9075,safe_coverage,0.8871794871794871,10,R2
banking77_open,0.10119468578013335,0.08380531421986664,0.11282051282051282,0.0925,wrong_bucket_access_rate,0.0685897435897436,10,R2
banking77_open,1.0,1.0,1.0,1.0,false_memory_access_rate,1.0,10,R2
banking77_open,0.0,0.0,0.0,0.0,oos_recall,0.0,10,R2
banking77_open,0.0,0.0,0.0,0.0,oos_f1,0.0,10,R2
banking77_open,0.8740858526874686,0.8603083780817622,0.8828711201079622,0.8671971153846154,oos_auroc,0.8512246963562753,10,R2
banking77_open,0.7572856312065182,0.7409759319183831,0.7733768810034425,0.7491307815624506,oos_aupr,0.7326889503535392,10,R2
banking77_open,0.6519614814567997,0.5630385185432004,0.7,0.6075,worst_intent_accuracy,0.475,10,R2
banking77_open,0.9161946857801333,0.8988053142198666,0.9314102564102564,0.9075,intent_macro_accuracy,0.8871794871794871,10,R2
banking77_open,0.0,0.0,0.0,0.0,multi_candidate_set_rate,0.0,10,R2
banking77_open,0.1561408317723806,0.14422204591739188,0.16535777935977072,0.15018143884488624,aurc,0.14040261438867657,10,R2
